Timestamp,AccelX,AccelY,AccelZ
5.73785,0.120407,0.093887,-0.70163
5.75683,0.080811,0.184448,-0.704437
5.757026,0.039185,0.245743,-0.704987
5.775938,0.01738,0.274109,-0.672302
5.776125,-0.010941,0.282822,-0.660385
5.795201,-0.062149,0.215149,-0.714417
5.795424,-0.067993,0.100998,-0.812469
5.814413,-0.067474,0.0168,-0.892365
5.814607,-0.086716,-0.029449,-0.94487
5.833572,-0.11058,0.020111,-0.97641
5.833762,-0.137436,0.11676,-0.973495
5.852667,-0.152817,0.202164,-0.966019
5.85286,-0.174423,0.247314,-0.950348
5.871956,-0.19458,0.258118,-0.895721
5.872151,-0.238983,0.219101,-0.845306
5.891261,-0.257172,0.149155,-0.8759
5.891979,-0.252762,0.08371,-0.955627
5.910291,-0.253922,0.067413,-1.008301
5.910497,-0.248871,0.09201,-1.035431
5.929541,-0.25238,0.161911,-1.062744
5.929735,-0.276718,0.243729,-1.094589
5.948716,-0.293427,0.304733,-1.112228
5.948908,-0.302826,0.343689,-1.085556
5.967912,-0.331665,0.373428,-1.051773
5.968108,-0.375427,0.369919,-1.037827
5.987071,-0.471527,0.331039,-1.082153
5.987293,-0.586212,0.201843,-1.170883
6.006318,-0.629272,0.082336,-1.302048
6.00653,-0.57988,0.041779,-1.363556
6.025444,-0.48703,0.076431,-1.355484
6.025655,-0.42482,0.146057,-1.324677
6.044635,-0.382309,0.217819,-1.274506
6.044826,-0.374664,0.268951,-1.248596
6.063748,-0.408798,0.300125,-1.228149
6.063945,-0.439682,0.31015,-1.200394
6.082999,-0.471497,0.320953,-1.221054
6.083221,-0.493637,0.330231,-1.231995
6.10225,-0.522659,0.318924,-1.270584
6.102456,-0.541763,0.292435,-1.350082
6.121378,-0.539459,0.276016,-1.419571
6.121574,-0.527863,0.294296,-1.487656
6.140561,-0.521988,0.316147,-1.46051
6.140755,-0.535141,0.312469,-1.436127
6.159692,-0.570145,0.286209,-1.459045
6.159883,-0.591003,0.263916,-1.436859
6.178936,-0.588425,0.268295,-1.417236
6.179163,-0.575653,0.293579,-1.376968
6.198138,-0.54454,0.31424,-1.299423
6.198332,-0.515274,0.324646,-1.272583
6.217317,-0.483719,0.336075,-1.298492
6.217508,-0.465363,0.349884,-1.294342
6.236524,-0.47113,0.364792,-1.311981
6.236715,-0.483612,0.36377,-1.334015
6.255697,-0.481781,0.339249,-1.302338
6.255891,-0.476624,0.297989,-1.261398
6.27487,-0.457138,0.252396,-1.2556
6.275096,-0.394226,0.206268,-1.244232
6.294051,-0.370529,0.191086,-1.209351
6.294244,-0.386719,0.211777,-1.148697
6.313241,-0.403748,0.255981,-1.120224
6.313434,-0.401443,0.276901,-1.092422
6.332425,-0.399155,0.282272,-1.070374
6.332616,-0.391617,0.2901,-1.059891
6.351616,-0.372589,0.303848,-1.052307
6.351808,-0.356354,0.310089,-1.019913
6.370807,-0.347015,0.30249,-0.986008
6.371027,-0.346237,0.290146,-0.974319
6.389999,-0.357559,0.248459,-0.984573
6.390192,-0.360794,0.190491,-1.01799
6.409208,-0.354233,0.17186,-1.047272
6.409395,-0.330734,0.211685,-1.041183
6.428372,-0.328064,0.247131,-1.001083
6.428563,-0.309769,0.2677,-0.967316
6.447569,-0.290833,0.283386,-0.958755
6.447759,-0.277359,0.296127,-0.961334
6.466856,-0.26358,0.291092,-0.947113
6.467096,-0.276672,0.272263,-0.944565
6.48598,-0.301712,0.231064,-0.954391
6.48617,-0.297821,0.210007,-0.955399
6.50519,-0.281372,0.200745,-0.961456
6.505395,-0.2798,0.210159,-0.955246
6.524346,-0.269974,0.233322,-0.944901
6.524539,-0.253174,0.256363,-0.934158
6.543362,-0.220703,0.2659,-0.944641
6.543553,-0.206024,0.249191,-0.960556
6.562714,-0.213882,0.210693,-0.978027
6.562932,-0.210846,0.200958,-0.963348
6.581936,-0.194931,0.228851,-0.972885
6.582137,-0.16893,0.272888,-0.977707
6.601106,-0.142303,0.297836,-0.956223
6.601298,-0.138672,0.300247,-0.935608
6.620264,-0.141953,0.276764,-0.948502
6.620454,-0.150085,0.226364,-0.974869
6.639466,-0.164536,0.195618,-0.97464
6.639661,-0.169113,0.177673,-0.953552
6.658639,-0.160645,0.198456,-0.921722
6.658858,-0.136383,0.221359,-0.887833
6.67791,-0.107544,0.243942,-0.876572
6.67811,-0.075806,0.256714,-0.867249
6.697012,-0.055862,0.265228,-0.875824
6.697204,-0.033997,0.277435,-0.864532
6.716202,-0.018265,0.271652,-0.828049
6.716393,-0.010178,0.253693,-0.803299
6.735394,0.00386,0.191727,-0.784012
6.735586,0.038452,0.134232,-0.785553
6.754577,0.067917,0.092621,-0.802521
6.754796,0.067047,0.082657,-0.806732
6.773791,0.064224,0.108841,-0.781479
6.773987,0.06871,0.141235,-0.73378
6.793069,0.075378,0.168655,-0.7034
6.793257,0.097366,0.179214,-0.673065
6.812124,0.119507,0.172897,-0.643753
6.812314,0.142899,0.148453,-0.607712
6.83132,0.16188,0.125504,-0.591797
6.83151,0.17128,0.105957,-0.582169
6.850516,0.186768,0.099045,-0.578934
6.850741,0.196243,0.103867,-0.565277
6.869684,0.198669,0.110031,-0.550522
6.869877,0.200592,0.109131,-0.53801
6.888875,0.200638,0.104568,-0.545593
6.88907,0.203842,0.087265,-0.55368
6.90807,0.215027,0.068222,-0.549652
6.908263,0.225708,0.061768,-0.557526
6.927236,0.22731,0.065521,-0.569214
6.927427,0.234451,0.083267,-0.574081
6.946441,0.243881,0.093781,-0.542297
6.946665,0.250259,0.104355,-0.537445
6.965645,0.253174,0.096878,-0.552826
6.965835,0.260086,0.091019,-0.589157
6.984876,0.266663,0.071884,-0.640701
6.985072,0.268387,0.051208,-0.676941
7.004132,0.242569,0.051132,-0.697052
7.004329,0.203827,0.097656,-0.691513
7.023241,0.145462,0.155991,-0.657486
7.023439,0.110672,0.205963,-0.638153
7.042473,0.08728,0.231812,-0.641922
7.042687,0.053207,0.212311,-0.681641
7.061579,0.017975,0.131775,-0.747864
7.06177,0.032257,0.052216,-0.777344
7.080643,0.057648,0.042236,-0.749725
7.080836,0.069214,0.119019,-0.70993
7.099997,0.072998,0.201431,-0.70668
7.1002,0.065552,0.221832,-0.729965
7.119149,0.011429,0.13855,-0.752625
7.119342,-0.039551,0.037262,-0.78949
7.138331,-0.08992,-0.028473,-0.815125
7.138556,-0.133698,-0.039276,-0.803909
7.157506,-0.150482,0.017136,-0.777786
7.157697,-0.153748,0.096588,-0.756897
7.176716,-0.168839,0.174103,-0.766296
7.17691,-0.183258,0.234238,-0.846725
7.195819,-0.213684,0.27243,-1.000687
7.196013,-0.253525,0.286713,-1.113159
7.215075,-0.289139,0.276245,-1.07782
7.215267,-0.320938,0.275482,-0.9944
7.234316,-0.322739,0.269196,-0.946808
7.234551,-0.348343,0.257889,-0.91832
7.253456,-0.398499,0.216599,-0.924271
7.25365,-0.443787,0.138916,-0.960144
7.272595,-0.446106,0.078781,-1.023605
7.272787,-0.367157,0.086487,-1.057541
7.291887,-0.277924,0.149872,-1.057968
7.292079,-0.25,0.235855,-1.086716
7.311061,-0.265823,0.303589,-1.119202
7.311264,-0.323578,0.319778,-1.170944
7.3302,-0.396469,0.315506,-1.225357
7.33042,-0.473434,0.293777,-1.236893
7.349396,-0.506454,0.274979,-1.178314
7.349588,-0.493042,0.258209,-1.109665
7.368578,-0.488693,0.242966,-1.059525
7.368769,-0.512848,0.228668,-1.05011
7.387754,-0.52832,0.227997,-1.103485
7.387968,-0.520706,0.229477,-1.193039
7.407015,-0.490097,0.242996,-1.258072
